Designator,Footprint,Quantity,Value,LCSC Part #
C1,0805,1,1uF,
"C2, C8",0805,2,10uF,
"C3, C6",0805,2,0.1uF,
"C4, C5",0805,2,22uF,
C7,0805,1,100nF,
J1,JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,1,MPU6050,
J2,JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,1,HMC5883L,
J3,JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,1,SERVOS,
J4,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,1,2S3P BAT,
L1,L_7.3x7.3_H4.5,1,3.9uH,
"R1, R2",0805,2,10KR,
SW1,SW_Push_1P1T_NO_CK_KMR2,1,SW_EN,
SW2,SW_Push_1P1T_NO_CK_KMR2,1,SW_IO0,
U1,ESP32-S3-WROOM-1,1,ESP32-S3-WROOM-1,
U2,TSOT-23-6,1,AP63203,
