Designator,Mid X,Mid Y,Rotation,Layer
C1,117.05,-72.0,0.0,top
C2,143.05,-100.5,180.0,top
C3,139.0,-95.5,270.0,top
C4,143.5,-92.0,0.0,top
C5,140.0,-92.0,0.0,top
C6,143.05,-98.5,180.0,top
C7,122.5,-68.55,270.0,top
C8,120.5,-68.55,270.0,top
J1,150.0,-79.25,90.0,top
J2,119.5,-94.75,270.0,top
J3,119.5,-80.75,270.0,top
J4,148.5,-95.25,90.0,top
L1,133.0,-95.3,90.0,top
R1,124.5,-68.5875,90.0,top
R2,148.0,-68.5,270.0,top
SW1,117.0,-68.0,90.0,top
SW2,151.2,-68.55,270.0,top
U1,135.3,-71.45,0.0,top
U2,142.8625,-95.45,0.0,top
